line,101_CT_1,101_CT_2,101_STEAM_3,101_STEAM_4,102_CT_1,102_CT_2,102_STEAM_3,102_STEAM_4,107_CC_1,113_CT_1,113_CT_2,113_CT_3,113_CT_4,115_STEAM_1,115_STEAM_2,115_STEAM_3,116_STEAM_1,118_CC_1,122_WIND_1,123_CT_1,123_CT_4,123_CT_5,123_STEAM_2,123_STEAM_3,201_CT_1,201_CT_2,201_STEAM_3,202_CT_1,202_CT_2,202_STEAM_3,202_STEAM_4,207_CT_1,207_CT_2,212_CSP_1,213_CC_3,213_CT_1,213_CT_2,215_CT_4,215_CT_5,216_STEAM_1,218_CC_1,221_CC_1,223_CT_4,223_CT_5,223_CT_6,223_STEAM_1,223_STEAM_2,223_STEAM_3,301_CT_1,301_CT_2,301_CT_3,301_CT_4,302_CT_1,302_CT_2,302_CT_3,302_CT_4,303_WIND_1,307_CT_1,307_CT_2,309_WIND_1,313_CC_1,315_CT_6,315_CT_7,315_CT_8,315_STEAM_1,315_STEAM_2,315_STEAM_3,315_STEAM_4,315_STEAM_5,316_STEAM_1,317_WIND_1,318_CC_1,321_CC_1,322_CT_5,322_CT_6,323_CC_1,323_CC_2
A11,0.000000,0.000000,0.000000,0.000000,-0.000654,-0.000654,-0.000654,-0.000654,0.671146,0.064078,0.064078,0.064078,0.064078,0.061772,0.061772,0.061772,0.062714,0.066680,0.066895,0.075936,0.075936,0.075936,0.075936,0.075936,0.238488,0.238488,0.238488,0.236227,0.236227,0.236227,0.236227,0.216359,0.216359,0.195471,0.187579,0.187579,0.187579,0.146549,0.146549,0.149070,0.137762,0.140526,0.163176,0.163176,0.163176,0.163176,0.163176,0.163176,0.112757,0.112757,0.112757,0.112757,0.112674,0.112674,0.112674,0.112674,0.115387,0.111937,0.111937,0.112235,0.109836,0.120683,0.120683,0.120683,0.120683,0.120683,0.120683,0.120683,0.120683,0.118710,0.123837,0.126545,0.124481,0.124228,0.124228,0.105186,0.105186
AB1,0.000000,0.000000,0.000000,0.000000,0.000654,0.000654,0.000654,0.000654,0.328854,-0.064078,-0.064078,-0.064078,-0.064078,-0.061772,-0.061772,-0.061772,-0.062714,-0.066680,-0.066895,-0.075936,-0.075936,-0.075936,-0.075936,-0.075936,-0.238488,-0.238488,-0.238488,-0.236227,-0.236227,-0.236227,-0.236227,-0.216359,-0.216359,-0.195471,-0.187579,-0.187579,-0.187579,-0.146549,-0.146549,-0.149070,-0.137762,-0.140526,-0.163176,-0.163176,-0.163176,-0.163176,-0.163176,-0.163176,-0.112757,-0.112757,-0.112757,-0.112757,-0.112674,-0.112674,-0.112674,-0.112674,-0.115387,-0.111937,-0.111937,-0.112235,-0.109836,-0.120683,-0.120683,-0.120683,-0.120683,-0.120683,-0.120683,-0.120683,-0.120683,-0.118710,-0.123837,-0.126545,-0.124481,-0.124228,-0.124228,-0.105186,-0.105186
A12-1,0.000000,0.000000,0.000000,0.000000,-0.002257,-0.002257,-0.002257,-0.002257,0.318521,0.013119,0.013119,0.013119,0.013119,0.004054,0.004054,0.004054,0.006482,0.007693,0.007759,0.016888,0.016888,0.016888,0.016888,0.016888,0.099321,0.099321,0.099321,0.098172,0.098172,0.098172,0.098172,0.088069,0.088069,0.077387,0.073386,0.073386,0.073386,0.053251,0.053251,0.054285,0.048622,0.050078,0.060803,0.060803,0.060803,0.060803,0.060803,0.060803,0.032902,0.032902,0.032902,0.032902,0.032855,0.032855,0.032855,0.032855,0.034357,0.032447,0.032447,0.032612,0.031285,0.037288,0.037288,0.037288,0.037288,0.037288,0.037288,0.037288,0.037288,0.036195,0.039033,0.040532,0.039389,0.039249,0.039249,0.028712,0.028712
A13-2,0.000000,0.000000,0.000000,0.000000,0.001603,0.001603,0.001603,0.001603,0.352625,0.050959,0.050959,0.050959,0.050959,0.057718,0.057718,0.057718,0.056232,0.058987,0.059137,0.059047,0.059047,0.059047,0.059047,0.059047,0.139167,0.139167,0.139167,0.138055,0.138055,0.138055,0.138055,0.128290,0.128290,0.118084,0.114193,0.114193,0.114193,0.093299,0.093299,0.094785,0.089140,0.090448,0.102373,0.102373,0.102373,0.102373,0.102373,0.102373,0.079856,0.079856,0.079856,0.079856,0.079818,0.079818,0.079818,0.079818,0.081030,0.079489,0.079489,0.079623,0.078551,0.083396,0.083396,0.083396,0.083396,0.083396,0.083396,0.083396,0.083396,0.082514,0.084804,0.086014,0.085092,0.084979,0.084979,0.076474,0.076474
A14,0.000000,0.000000,0.000000,0.000000,0.005599,0.005599,0.005599,0.005599,-0.016232,-0.151127,-0.151127,-0.151127,-0.151127,-0.118105,-0.118105,-0.118105,-0.134180,-0.125487,-0.125016,-0.119738,-0.119738,-0.119738,-0.119738,-0.119738,-0.100731,-0.100731,-0.100731,-0.101156,-0.101156,-0.101156,-0.101156,-0.104888,-0.104888,-0.108681,-0.110190,-0.110190,-0.110190,-0.120721,-0.120721,-0.118477,-0.119700,-0.120021,-0.114392,-0.114392,-0.114392,-0.114392,-0.114392,-0.114392,-0.118903,-0.118903,-0.118903,-0.118903,-0.118911,-0.118911,-0.118911,-0.118911,-0.118668,-0.118977,-0.118977,-0.118950,-0.119165,-0.118194,-0.118194,-0.118194,-0.118194,-0.118194,-0.118194,-0.118194,-0.118194,-0.118371,-0.117912,-0.117669,-0.117854,-0.117877,-0.117877,-0.119581,-0.119581
A15,0.000000,0.000000,0.000000,0.000000,0.005233,0.005233,0.005233,0.005233,-0.024431,-0.165608,-0.165608,-0.165608,-0.165608,-0.083494,-0.083494,-0.083494,-0.095710,-0.091073,-0.090822,-0.159330,-0.159330,-0.159330,-0.159330,-0.159330,-0.114063,-0.114063,-0.114063,-0.114487,-0.114487,-0.114487,-0.114487,-0.118207,-0.118207,-0.121368,-0.122994,-0.122994,-0.122994,-0.138555,-0.138555,-0.136213,-0.140509,-0.139894,-0.125380,-0.125380,-0.125380,-0.125380,-0.125380,-0.125380,-0.106511,-0.106511,-0.106511,-0.106511,-0.106480,-0.106480,-0.106480,-0.106480,-0.107495,-0.106204,-0.106204,-0.106316,-0.105418,-0.109477,-0.109477,-0.109477,-0.109477,-0.109477,-0.109477,-0.109477,-0.109477,-0.108739,-0.110658,-0.111671,-0.110899,-0.110804,-0.110804,-0.103677,-0.103677
A16,0.000000,0.000000,0.000000,0.000000,-0.001984,-0.001984,-0.001984,-0.001984,-0.083222,-0.225456,-0.225456,-0.225456,-0.225456,-0.223516,-0.223516,-0.223516,-0.231903,-0.226243,-0.225936,-0.202550,-0.202550,-0.202550,-0.202550,-0.202550,-0.178999,-0.178999,-0.178999,-0.179499,-0.179499,-0.179499,-0.179499,-0.183895,-0.183895,-0.188620,-0.190346,-0.190346,-0.190346,-0.199386,-0.199386,-0.198031,-0.199290,-0.199320,-0.196048,-0.196048,-0.196048,-0.196048,-0.196048,-0.196048,-0.211135,-0.211135,-0.211135,-0.211135,-0.211160,-0.211160,-0.211160,-0.211160,-0.210348,-0.211381,-0.211381,-0.211291,-0.212009,-0.208763,-0.208763,-0.208763,-0.208763,-0.208763,-0.208763,-0.208763,-0.208763,-0.209354,-0.207820,-0.207009,-0.207627,-0.207703,-0.207703,-0.213401,-0.213401
A17,0.000000,0.000000,0.000000,0.000000,-0.002350,-0.002350,-0.002350,-0.002350,-0.091420,-0.239937,-0.239937,-0.239937,-0.239937,-0.188905,-0.188905,-0.188905,-0.193433,-0.191829,-0.191742,-0.242142,-0.242142,-0.242142,-0.242142,-0.242142,-0.192331,-0.192331,-0.192331,-0.192830,-0.192830,-0.192830,-0.192830,-0.197213,-0.197213,-0.201307,-0.203150,-0.203150,-0.203150,-0.217220,-0.217220,-0.215768,-0.220100,-0.219194,-0.207037,-0.207037,-0.207037,-0.207037,-0.207037,-0.207037,-0.198743,-0.198743,-0.198743,-0.198743,-0.198729,-0.198729,-0.198729,-0.198729,-0.199175,-0.198608,-0.198608,-0.198657,-0.198262,-0.200047,-0.200047,-0.200047,-0.200047,-0.200047,-0.200047,-0.200047,-0.200047,-0.199722,-0.200565,-0.201011,-0.200671,-0.200630,-0.200630,-0.197497,-0.197497
A18,0.000000,0.000000,0.000000,0.000000,0.000597,0.000597,0.000597,0.000597,-0.086874,-0.381457,-0.381457,-0.381457,-0.381457,-0.056375,-0.056375,-0.056375,-0.055259,-0.062604,-0.063002,-0.193167,-0.193167,-0.193167,-0.193167,-0.193167,-0.204102,-0.204102,-0.204102,-0.204523,-0.204523,-0.204523,-0.204523,-0.208226,-0.208226,-0.209836,-0.211758,-0.211758,-0.211758,-0.252153,-0.252153,-0.237192,-0.238084,-0.242510,-0.209670,-0.209670,-0.209670,-0.209670,-0.209670,-0.209670,-0.133031,-0.133031,-0.133031,-0.133031,-0.132904,-0.132904,-0.132904,-0.132904,-0.137028,-0.131784,-0.131784,-0.132237,-0.128590,-0.145079,-0.145079,-0.145079,-0.145079,-0.145079,-0.145079,-0.145079,-0.145079,-0.142079,-0.149872,-0.153989,-0.150852,-0.150467,-0.150467,-0.121522,-0.121522
A19,0.000000,0.000000,0.000000,0.000000,0.003019,0.003019,0.003019,0.003019,-0.012580,0.004873,0.004873,0.004873,0.004873,-0.285245,-0.285245,-0.285245,-0.310823,-0.289125,-0.287950,-0.129121,-0.129121,-0.129121,-0.129121,-0.129121,-0.075628,-0.075628,-0.075628,-0.076131,-0.076131,-0.076131,-0.076131,-0.080557,-0.080557,-0.087465,-0.088777,-0.088777,-0.088777,-0.067954,-0.067954,-0.079316,-0.080906,-0.076832,-0.100770,-0.100770,-0.100770,-0.100770,-0.100770,-0.100770,-0.197007,-0.197007,-0.197007,-0.197007,-0.197167,-0.197167,-0.197167,-0.197167,-0.191988,-0.198574,-0.198574,-0.198004,-0.202583,-0.181878,-0.181878,-0.181878,-0.181878,-0.181878,-0.181878,-0.181878,-0.181878,-0.185645,-0.175859,-0.170689,-0.174629,-0.175112,-0.175112,-0.211459,-0.211459
A20,0.000000,0.000000,0.000000,0.000000,0.001238,0.001238,0.001238,0.001238,-0.072527,-0.356115,-0.356115,-0.356115,-0.356115,-0.116945,-0.116945,-0.116945,-0.122581,-0.122828,-0.122841,-0.123881,-0.123881,-0.123881,-0.123881,-0.123881,-0.180771,-0.180771,-0.180771,-0.181194,-0.181194,-0.181194,-0.181194,-0.184918,-0.184918,-0.187634,-0.189350,-0.189350,-0.189350,-0.220943,-0.220943,-0.206153,-0.201668,-0.207731,-0.190439,-0.190439,-0.190439,-0.190439,-0.190439,-0.190439,-0.154717,-0.154717,-0.154717,-0.154717,-0.154658,-0.154658,-0.154658,-0.154658,-0.156580,-0.154136,-0.154136,-0.154347,-0.152647,-0.160333,-0.160333,-0.160333,-0.160333,-0.160333,-0.160333,-0.160333,-0.160333,-0.158935,-0.162567,-0.164486,-0.163024,-0.162844,-0.162844,-0.149353,-0.149353
A21,0.000000,0.000000,0.000000,0.000000,0.001645,0.001645,0.001645,0.001645,-0.043324,-0.049431,-0.049431,-0.049431,-0.049431,-0.155454,-0.155454,-0.155454,-0.166562,-0.160074,-0.159723,-0.277591,-0.277591,-0.277591,-0.277591,-0.277591,-0.125624,-0.125624,-0.125624,-0.126122,-0.126122,-0.126122,-0.126122,-0.130503,-0.130503,-0.135041,-0.136794,-0.136794,-0.136794,-0.134832,-0.134832,-0.145828,-0.158941,-0.151357,-0.141978,-0.141978,-0.141978,-0.141978,-0.141978,-0.141978,-0.150537,-0.150537,-0.150537,-0.150537,-0.150551,-0.150551,-0.150551,-0.150551,-0.150090,-0.150676,-0.150676,-0.150625,-0.151033,-0.149191,-0.149191,-0.149191,-0.149191,-0.149191,-0.149191,-0.149191,-0.149191,-0.149526,-0.148656,-0.148196,-0.148546,-0.148589,-0.148589,-0.151822,-0.151822
A22,0.000000,0.000000,0.000000,0.000000,0.001151,0.001151,0.001151,0.001151,-0.008289,0.141364,0.141364,0.141364,0.141364,-0.108801,-0.108801,-0.108801,-0.118076,-0.110707,-0.110307,-0.241150,-0.241150,-0.241150,-0.241150,-0.241150,-0.040328,-0.040328,-0.040328,-0.040650,-0.040650,-0.040650,-0.040650,-0.043480,-0.043480,-0.047040,-0.048048,-0.048048,-0.048048,-0.028430,-0.028430,-0.048850,-0.065946,-0.054144,-0.053227,-0.053227,-0.053227,-0.053227,-0.053227,-0.053227,-0.082478,-0.082478,-0.082478,-0.082478,-0.082527,-0.082527,-0.082527,-0.082527,-0.080953,-0.082955,-0.082955,-0.082782,-0.084173,-0.077880,-0.077880,-0.077880,-0.077880,-0.077880,-0.077880,-0.077880,-0.077880,-0.079025,-0.076051,-0.074479,-0.075676,-0.075824,-0.075824,-0.086871,-0.086871
AB2,0.000000,0.000000,0.000000,0.000000,0.000683,0.000683,0.000683,0.000683,-0.151112,0.121064,0.121064,0.121064,0.121064,-0.064519,-0.064519,-0.064519,-0.059764,-0.074725,-0.075535,-0.075898,-0.075898,-0.075898,-0.075898,-0.075898,-0.344545,-0.344545,-0.344545,-0.345068,-0.345068,-0.345068,-0.345068,-0.349664,-0.349664,-0.350430,-0.353060,-0.353060,-0.353060,-0.444665,-0.444665,-0.394495,-0.373806,-0.396098,-0.346882,-0.346882,-0.346882,-0.346882,-0.346882,-0.346882,-0.205270,-0.205270,-0.205270,-0.205270,-0.205035,-0.205035,-0.205035,-0.205035,-0.212655,-0.202965,-0.202965,-0.203803,-0.197064,-0.227531,-0.227531,-0.227531,-0.227531,-0.227531,-0.227531,-0.227531,-0.227531,-0.221989,-0.236389,-0.243996,-0.238200,-0.237488,-0.237488,-0.184004,-0.184004
A23,0.000000,0.000000,0.000000,0.000000,0.003019,0.003019,0.003019,0.003019,-0.012580,0.004873,0.004873,0.004873,0.004873,-0.285245,-0.285245,-0.285245,-0.310823,-0.289125,-0.287950,-0.129121,-0.129121,-0.129121,-0.129121,-0.129121,-0.075628,-0.075628,-0.075628,-0.076131,-0.076131,-0.076131,-0.076131,-0.080557,-0.080557,-0.087465,-0.088777,-0.088777,-0.088777,-0.067954,-0.067954,-0.079316,-0.080906,-0.076832,-0.100770,-0.100770,-0.100770,-0.100770,-0.100770,-0.100770,-0.197007,-0.197007,-0.197007,-0.197007,-0.197167,-0.197167,-0.197167,-0.197167,-0.191988,-0.198574,-0.198574,-0.198004,-0.202583,-0.181878,-0.181878,-0.181878,-0.181878,-0.181878,-0.181878,-0.181878,-0.181878,-0.185645,-0.175859,-0.170689,-0.174629,-0.175112,-0.175112,-0.211459,-0.211459
A24,0.000000,0.000000,0.000000,0.000000,-0.005340,-0.005340,-0.005340,-0.005340,-0.060208,-0.109541,-0.109541,-0.109541,-0.109541,0.504563,0.504563,0.504563,-0.264656,0.119390,0.140200,-0.157008,-0.157008,-0.157008,-0.157008,-0.157008,-0.063221,-0.063221,-0.063221,-0.063032,-0.063032,-0.063032,-0.063032,-0.061377,-0.061377,-0.055878,-0.055964,-0.055964,-0.055964,-0.088564,-0.088564,-0.082809,-0.095776,-0.093507,-0.043006,-0.043006,-0.043006,-0.043006,-0.043006,-0.043006,0.102823,0.102823,0.102823,0.102823,0.103065,0.103065,0.103065,0.103065,0.095218,0.105197,0.105197,0.104334,0.111273,0.079899,0.079899,0.079899,0.079899,0.079899,0.079899,0.079899,0.079899,0.085607,0.070778,0.062944,0.068913,0.069646,0.069646,0.124723,0.124723
A25-1,0.000000,0.000000,0.000000,0.000000,-0.000906,-0.000906,-0.000906,-0.000906,-0.026670,-0.022125,-0.022125,-0.022125,-0.022125,0.085614,0.085614,0.085614,-0.008702,-0.209039,-0.219895,-0.021648,-0.021648,-0.021648,-0.021648,-0.021648,-0.056083,-0.056083,-0.056083,-0.056384,-0.056384,-0.056384,-0.056384,-0.059030,-0.059030,-0.064337,-0.064888,-0.064888,-0.064888,-0.044503,-0.044503,-0.049816,-0.043432,-0.043769,-0.075481,-0.075481,-0.075481,-0.075481,-0.075481,-0.075481,-0.177387,-0.177387,-0.177387,-0.177387,-0.177556,-0.177556,-0.177556,-0.177556,-0.172073,-0.179046,-0.179046,-0.178443,-0.183292,-0.161367,-0.161367,-0.161367,-0.161367,-0.161367,-0.161367,-0.161367,-0.161367,-0.165356,-0.154993,-0.149519,-0.153690,-0.154203,-0.154203,-0.192690,-0.192690
A25-2,0.000000,0.000000,0.000000,0.000000,-0.000906,-0.000906,-0.000906,-0.000906,-0.026670,-0.022125,-0.022125,-0.022125,-0.022125,0.085614,0.085614,0.085614,-0.008702,-0.209039,-0.219895,-0.021648,-0.021648,-0.021648,-0.021648,-0.021648,-0.056083,-0.056083,-0.056083,-0.056384,-0.056384,-0.056384,-0.056384,-0.059030,-0.059030,-0.064337,-0.064888,-0.064888,-0.064888,-0.044503,-0.044503,-0.049816,-0.043432,-0.043769,-0.075481,-0.075481,-0.075481,-0.075481,-0.075481,-0.075481,-0.177387,-0.177387,-0.177387,-0.177387,-0.177556,-0.177556,-0.177556,-0.177556,-0.172073,-0.179046,-0.179046,-0.178443,-0.183292,-0.161367,-0.161367,-0.161367,-0.161367,-0.161367,-0.161367,-0.161367,-0.161367,-0.165356,-0.154993,-0.149519,-0.153690,-0.154203,-0.154203,-0.192690,-0.192690
