,2020-07-15 00:00:00,2020-07-15 01:00:00,2020-07-15 02:00:00,2020-07-15 03:00:00,2020-07-15 04:00:00,2020-07-15 05:00:00
201_HYDRO_4,49.5348148012966,47.772081417221145,47.04911032060998,47.129828253381255,47.95895143918054,44.395901606002234
201_STEAM_3,0.0,0.0,0.0,0.0,0.0,0.0
202_CT_1,0.0,0.0,0.0,0.0,0.0,0.0
202_CT_2,0.0,0.0,0.0,0.0,0.0,0.0
202_STEAM_3,0.0,0.0,0.0,0.0,0.0,0.0
202_STEAM_4,0.0,0.0,0.0,0.0,0.0,0.0
207_CT_1,0.0,0.0,0.0,0.0,0.0,0.0
207_CT_2,0.0,0.0,0.0,0.0,0.0,0.0
212_CSP_1,158.94886417097462,154.60092958234503,152.80218971979943,152.87509102177634,154.11937830244588,151.84863189881355
213_CC_3,0.0,0.0,0.0,0.0,0.0,0.0
213_CT_1,0.0,0.0,0.0,0.0,0.0,0.0
213_CT_2,0.0,0.0,0.0,0.0,0.0,0.0
213_RTPV_1,0.0,0.0,0.0,0.0,0.0,0.07120797901230444
215_CT_4,0.0,0.0,0.0,0.0,0.0,0.0
215_CT_5,0.0,0.0,0.0,0.0,0.0,0.0
215_HYDRO_1,50.0,41.68722392173859,38.98396098616999,50.0,42.40196237744806,35.81338894936215
215_HYDRO_2,48.298724065697314,50.0,50.0,50.0,50.0,50.0
215_HYDRO_3,50.0,50.0,50.0,39.34109481049529,50.0,50.0
215_PV_1,0.0,0.0,0.0,0.0,0.0,45.2
216_STEAM_1,153.67213910720875,152.49830708515157,151.6484623499102,151.17299518239395,150.88610839495553,150.1066616154763
218_CC_1,0.0,0.0,0.0,0.0,0.0,0.0
221_CC_1,0.0,0.0,0.0,0.0,0.0,0.0
222_HYDRO_1,50.0,50.0,50.0,50.0,50.0,50.0
222_HYDRO_2,50.0,50.0,33.24577745895448,50.0,50.0,50.0
222_HYDRO_3,47.45632253322941,50.0,50.0,50.0,50.0,50.0
222_HYDRO_4,50.0,50.0,50.0,50.0,50.0,50.0
222_HYDRO_5,50.0,37.52661945792323,50.0,50.0,38.71517156550357,50.0
222_HYDRO_6,50.0,50.0,50.0,33.84318558802818,50.0,32.52208769202326
223_CT_4,0.0,0.0,0.0,0.0,0.0,0.0
223_CT_5,0.0,0.0,0.0,0.0,0.0,0.0
223_CT_6,0.0,0.0,0.0,0.0,0.0,0.0
223_STEAM_1,153.7095659728034,152.54213458127438,151.69257860032752,151.20678055911395,150.89680311373158,150.0914611346102
223_STEAM_2,153.70956597279826,152.5421345812696,151.69257860032263,151.20678055910622,150.89680311370097,150.09146113459047
223_STEAM_3,0.0,0.0,0.0,0.0,0.0,0.0
301_CT_1,0.0,0.0,0.0,0.0,0.0,0.0
301_CT_2,0.0,0.0,0.0,0.0,0.0,0.0
301_CT_3,0.0,0.0,0.0,0.0,0.0,0.0
301_CT_4,0.0,0.0,0.0,0.0,0.0,0.0
302_CT_1,0.0,0.0,0.0,0.0,0.0,0.0
302_CT_2,0.0,0.0,0.0,0.0,0.0,0.0
302_CT_3,0.0,0.0,0.0,0.0,0.0,0.0
302_CT_4,0.0,0.0,0.0,0.0,0.0,0.0
303_WIND_1,473.0715513598964,390.1095858751944,361.71390460486185,362.5323667387923,389.6891882606243,331.06821046221245
307_CT_1,0.0,0.0,0.0,0.0,0.0,0.0
307_CT_2,0.0,0.0,0.0,0.0,0.0,0.0
308_RTPV_1,0.0,0.0,0.0,0.0,0.0,0.4233041125637447
309_WIND_1,123.82161250538013,119.13001967381558,114.15327897352455,109.35784620932404,104.4277639958775,92.47451354387024
310_PV_1,0.0,0.0,0.0,0.0,0.0,17.3
310_PV_2,0.0,0.0,0.0,0.0,0.0,11.783431485550462
312_PV_1,0.0,0.0,0.0,0.0,0.0,13.930997020685167
313_CC_1,0.0,0.0,0.0,0.0,0.0,0.0
313_PV_1,0.0,0.0,0.0,0.0,0.0,15.911626791324089
313_PV_2,0.0,0.0,0.0,0.0,0.0,17.4
313_RTPV_1,0.0,0.0,0.0,0.0,0.0,0.0
313_RTPV_10,0.0,0.0,0.0,0.0,0.0,0.0
313_RTPV_11,0.0,0.0,0.0,0.0,0.0,0.0
313_RTPV_12,0.0,0.0,0.0,0.0,0.0,0.0
313_RTPV_13,0.0,0.0,0.0,0.0,0.0,0.0
313_RTPV_2,0.0,0.0,0.0,0.0,0.0,0.0
313_RTPV_3,0.0,0.0,0.0,0.0,0.0,0.0
313_RTPV_4,0.0,0.0,0.0,0.0,0.0,0.0
313_RTPV_5,0.0,0.0,0.0,0.0,0.0,0.0
313_RTPV_6,0.0,0.0,0.0,0.0,0.0,0.0
313_RTPV_7,0.0,0.0,0.0,0.0,0.0,0.0
313_RTPV_8,0.0,0.0,0.0,0.0,0.0,0.0
313_RTPV_9,0.0,0.0,0.0,0.0,0.0,0.0
314_PV_1,0.0,0.0,0.0,0.0,0.0,18.2
314_PV_2,0.0,0.0,0.0,0.0,0.0,17.4
314_PV_3,0.0,0.0,0.0,0.0,0.0,8.902112814586996
314_PV_4,0.0,0.0,0.0,0.0,0.0,17.4
315_CT_6,0.0,0.0,0.0,0.0,0.0,0.0
315_CT_7,0.0,0.0,0.0,0.0,0.0,0.0
315_CT_8,0.0,0.0,0.0,0.0,0.0,0.0
315_STEAM_1,0.0,0.0,0.0,0.0,0.0,0.0
315_STEAM_2,0.0,0.0,0.0,0.0,0.0,0.0
315_STEAM_3,0.0,0.0,0.0,0.0,0.0,0.0
315_STEAM_4,0.0,0.0,0.0,0.0,0.0,0.0
315_STEAM_5,0.0,0.0,0.0,0.0,0.0,0.0
316_STEAM_1,0.0,0.0,0.0,0.0,0.0,0.0
317_WIND_1,683.7942572728072,656.8662886343947,630.450148966337,621.1170482935115,619.5913513417468,570.8603410528658
318_CC_1,0.0,0.0,0.0,0.0,0.0,0.0
319_PV_1,0.0,0.0,0.0,0.0,0.0,55.84418788355446
320_PV_1,0.0,0.0,0.0,0.0,0.0,14.819752588569353
320_RTPV_1,0.0,0.0,0.0,0.0,0.0,0.0
320_RTPV_2,0.0,0.0,0.0,0.0,0.0,0.0
320_RTPV_3,0.0,0.0,0.0,0.0,0.0,0.0
320_RTPV_4,0.0,0.0,0.0,0.0,0.0,0.0
320_RTPV_5,0.0,0.0,0.0,0.0,0.0,0.0
320_RTPV_6,0.0,0.0,0.0,0.0,0.0,0.0
321_CC_1,0.0,0.0,0.0,0.0,0.0,0.0
322_CT_5,0.0,0.0,0.0,0.0,0.0,0.0
322_CT_6,0.0,0.0,0.0,0.0,0.0,0.0
322_HYDRO_1,50.0,50.0,50.0,50.0,36.796395203675615,50.0
322_HYDRO_2,50.0,33.52042203608951,50.0,50.0,50.0,50.0
322_HYDRO_3,47.545642120401254,50.0,50.0,29.228973604068386,50.0,28.029194877046706
322_HYDRO_4,50.0,50.0,27.98362230698808,50.0,50.0,50.0
323_CC_1,0.0,0.0,0.0,0.0,0.0,0.0
323_CC_2,0.0,0.0,0.0,0.0,0.0,0.0
324_PV_1,0.0,0.0,0.0,0.0,0.0,17.7
324_PV_2,0.0,0.0,0.0,0.0,0.0,7.537342469431877
324_PV_3,0.0,0.0,0.0,0.0,0.0,17.2
