Dispatch,7/15/2020 0:00,7/15/2020 1:00,7/15/2020 2:00,7/15/2020 3:00,7/15/2020 4:00,7/15/2020 5:00,7/15/2020 6:00,7/15/2020 7:00,7/15/2020 8:00,7/15/2020 9:00,7/15/2020 10:00,7/15/2020 11:00,7/15/2020 12:00,7/15/2020 13:00,7/15/2020 14:00,7/15/2020 15:00,7/15/2020 16:00,7/15/2020 17:00,7/15/2020 18:00,7/15/2020 19:00,7/15/2020 20:00,7/15/2020 21:00,7/15/2020 22:00,7/15/2020 23:00,7/16/2020 0:00,7/16/2020 2:00,7/16/2020 4:00,7/16/2020 6:00,7/16/2020 8:00,7/16/2020 10:00,7/16/2020 12:00,7/16/2020 14:00,7/16/2020 16:00,7/16/2020 18:00,7/16/2020 20:00,7/16/2020 22:00,,,,,,,,,,,,
122_WIND_1,523.3394701,344.8358661,336.6866594,349.7706744,368.7980043,393.869818,326.1082234,310.5295487,274.4451919,198.0324457,188.9058333,200.4779649,230.8154196,251.2186143,283.3693592,324.9410147,364.4645146,377.8273726,364.3155103,335.4300475,350.785366,388.1394454,367.7895605,456.1909049,478.8432465,447.0950928,410.4322815,339.470993,214.111969,167.1250839,203.0431366,270.3037338,257.221962,208.4285355,187.5205154,207.8979263,,,,,,,,,,,,
123_CT_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.26689217,49.96200936,49.71002867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
123_CT_4,0,0,0,0,0,0,0,0,0,0,0,0,0,49.87883381,50.25579364,49.96142892,49.70946548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
123_CT_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.95510215,49.70994669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
123_STEAM_2,62.18929132,62.0488957,64.36101669,65.23548427,69.7507318,62.00195571,82.94773047,136.3279624,141.7704239,140.4019992,140.9603796,142.538437,145.0644981,146.3332956,146.1531026,144.8321448,145.7225215,143.9099257,140.7431865,139.7138619,140.315602,143.2614986,139.8520947,82.62977392,62,62,62,105.2919471,155,155,155,155,155,155,155,155,,,,,,,,,,,,
123_STEAM_3,140.8671855,140.0503606,142.7679395,143.172301,149.3761535,140.0458775,205.5023274,309.704995,322.7177901,326.3191644,331.627419,329.1332321,331.093307,334.2385551,332.94872,335.6340111,335.9311874,330.8175501,328.5674089,325.0737583,323.3881227,335.9109804,326.4546218,303.2566588,140,140,140,350,350,350,350,350,350,350,350,350,,,,,,,,,,,,
201_CT_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.62189956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
201_CT_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.62189957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
201_STEAM_3,30.21678589,30.03579315,31.57475767,32.3642881,34.00066662,30.00140596,41.98793096,67.47702119,68.76350426,69.1605493,69.88908883,69.96806913,70.55064857,70.71268478,70.838933,68.68110576,71.0424734,70.50747447,68.83895759,69.23467115,69.08562861,70.75151548,68.77154981,41.22408863,30,30,30,30,76,76,76,76,76,76,76,76,,,,,,,,,,,,
202_CT_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.66942349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
202_CT_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.66942417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
202_STEAM_3,30.20285649,30.02877401,31.12796327,31.24845002,32.91778084,30.00126303,40.82543439,67.42559003,67.80368521,66.94730885,67.97655167,67.75354066,68.31410735,69.59915156,69.0406346,68.78587298,69.03141795,68.36373271,67.45153632,66.91248906,67.96838979,70.10896121,68.50513858,38.22448969,30,30,30,30,76,76,76,76,76,76,76,76,,,,,,,,,,,,
202_STEAM_4,30.36473435,30.05804794,32.04161739,32.84568347,35.89948718,30.00234616,40.82543439,67.42559003,67.80368521,67.03498352,68.10191225,67.88039302,68.4375052,69.748314,69.17558108,68.78587298,69.18269443,68.49259416,67.53993644,66.98354369,68.12500768,70.10895977,68.50513858,62.75762322,30,30,30,30,76,76,76,76,76,76,76,76,,,,,,,,,,,,
207_CT_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
207_CT_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
212_CSP_1,199.9871422,199.1575343,193.7443892,191.8518341,192.3789608,199.9998538,177.2238779,180.0960324,184.4975692,179.2029805,184.3594121,184.8964009,186.7010435,189.8602216,190.7891441,188.9153239,190.1043098,186.9976825,183.6267475,182.2257065,181.1419173,190.5792515,182.6973813,180.002169,200,200,200,200,200,200,200,200,200,200,200,200,,,,,,,,,,,,
213_CC_3,0,0,0,0,0,0,0,0,0,235.505883,335.0052325,340.515801,337.4104733,340.1740433,346.1055154,341.8177115,340.2098111,337.7901848,337.4582943,332.7504414,235.9723218,0,0,0,0,0,0,0,0,344.2157538,355,355,355,355,0,0,,,,,,,,,,,,
213_CT_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
213_CT_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
215_CT_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
215_CT_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
216_STEAM_1,79.86605522,62.05007237,64.04620066,64.58261043,68.27417044,108.4993223,129.3732526,139.5751664,143.8885878,142.2987552,145.0679887,144.0501251,144.9171335,146.124246,147.6994716,146.3675725,144.7826523,146.2361905,142.1540978,144.2350137,141.1559314,147.1311722,142.9087515,136.1369533,62,62,62,155,155,155,155,155,155,155,155,155,,,,,,,,,,,,
218_CC_1,0,0,0,0,0,0,0,0,0,0,0,236.6095675,337.6033348,340.2215466,344.7040373,339.1534309,340.5675251,341.67897,334.464896,332.583018,232.6787757,0,0,0,0,0,0,0,0,355,355,355,355,0,0,0,,,,,,,,,,,,
221_CC_1,170.1341864,170.0447718,171.2968626,172.8393261,176.0559269,170.0010452,193.9906721,206.6736043,226.9093789,337.113873,339.7704796,340.8120159,338.8177773,344.0073315,344.2320811,342.9312076,343.6036642,342.7181094,337.9774183,333.6489328,336.8004377,341.7463242,335.6484352,209.6944269,170,170,170,170,188.0372453,355,355,355,355,355,312.4272316,0,,,,,,,,,,,,
223_CT_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
223_CT_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
223_CT_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
223_STEAM_1,120.2316331,97.60842466,64.48121038,64.99012976,69.36563186,108.5016499,130.9886722,136.6729253,135.7397241,137.3193532,141.2636444,140.9062646,142.6202283,144.3715814,143.1531513,140.8486963,143.5272386,143.6508897,137.6859307,135.6806155,135.9612503,143.0863693,141.0999557,136.920988,155,62,62,155,155,155,155,155,155,155,155,155,,,,,,,,,,,,
223_STEAM_2,120.231549,97.60843459,64.48120527,64.99012487,69.36559973,108.5016508,130.9886673,136.672924,135.7397228,137.3193523,141.2636444,140.9062637,142.6202288,144.3715823,143.1531528,140.8486803,143.5272386,143.6508905,137.6859316,135.6806155,135.9612503,143.0863702,141.099957,136.920988,155,147.1740787,95.24756601,155,155,155,155,155,155,155,155,155,,,,,,,,,,,,
223_STEAM_3,201.5135263,140.0538357,142.1515766,143.0223821,147.4871353,239.373152,285.5860959,312.1853131,322.3495233,323.8402059,328.9405887,326.247317,329.8493497,335.2354537,336.4929935,328.8133887,334.3748379,333.0204701,325.2869743,316.0465848,321.2146724,336.3965888,326.3319653,313.3330139,140,140,140,350,350,350,350,350,350,350,350,350,,,,,,,,,,,,
301_CT_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
301_CT_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
301_CT_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
301_CT_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
302_CT_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
302_CT_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
302_CT_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
302_CT_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
303_WIND_1,570.4198861,445.2604566,409.559409,359.8521004,268.7094398,243.6909934,342.9955125,367.8481093,373.7748795,273.5335322,284.2118894,289.3309815,300.4559643,296.3662474,277.1980805,170.866861,109.0967955,156.2597171,175.0716307,172.5401104,118.6402558,296.7261161,319.0273098,322.2961592,549.4188883,542.7492127,569.0524319,544.5324545,556.2275848,532.8512946,500.9321444,509.2556772,531.0471233,494.4211578,591.4225132,559.3316416,,,,,,,,,,,,
307_CT_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,55,0,0,0,,,,,,,,,,,,
307_CT_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,55,55,22,55,0,,,,,,,,,,,,
309_WIND_1,124.5529917,93.56043449,81.55506904,82.28202564,85.34591664,99.3994441,68.5201708,62.68636072,58.78583148,35.42019862,30.99615336,32.92265714,39.07842479,50.43407321,56.56409574,59.88829771,67.28385247,62.13252726,57.2648311,53.24674748,63.00846853,96.30771805,99.24618068,110.1001394,129.7846146,126.814106,118.5771446,104.6484871,80.20754242,75.85721207,90.74107361,102.0783691,94.47250366,85.08010864,103.5114861,118.6349335,,,,,,,,,,,,
313_CC_1,262.5010755,235.9672345,213.8533817,231.9644157,266.9204371,262.5009,293.0748344,331.6245543,336.5318669,335.6855916,337.8105225,340.8048841,337.9538328,344.77705,343.5711786,339.5492216,340.4016881,334.1842189,328.8206581,327.9378313,319.0394514,339.6684009,334.0885093,311.0567651,257.1606005,215.5853275,355,355,355,355,355,355,355,355,355,355,,,,,,,,,,,,
315_CT_6,0,0,0,0,0,0,0,0,0,0,0,48.77608294,48.33563255,49.13164065,48.6717938,48.09391327,48.62583711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
315_CT_7,0,0,0,0,0,0,0,0,0,0,0,48.77699218,48.33948258,49.14862951,48.85242589,48.27384171,48.89644782,47.3609707,48.94156263,48.8763487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
315_CT_8,0,0,0,0,0,0,0,0,0,0,49.48795151,48.79478564,48.33462935,49.13126946,48.67218642,48.09379963,48.58776616,47.36687918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
315_STEAM_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
315_STEAM_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
315_STEAM_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
315_STEAM_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
315_STEAM_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
316_STEAM_1,62.07768287,62.04831355,63.71715833,64.49044222,67.96745577,62.00186243,82.35293292,139.2333206,143.5883464,143.3761398,143.8503904,143.8385583,143.0412281,146.5717586,146.4053512,143.4474481,144.8033679,141.0793443,139.3749369,140.2701039,136.2411191,142.3870462,139.3414776,130.0886733,62,62,62,62,155,155,155,155,155,155,155,155,,,,,,,,,,,,
317_WIND_1,332.8693074,602.7445953,588.6215854,577.7297982,581.9816387,600.8592208,498.7278105,432.2758768,380.1814006,243.1632698,227.435809,233.4016024,279.3283131,314.9075757,370.3177177,403.9858715,428.5324961,422.1135461,391.5253223,369.9099358,448.2878551,526.4998177,457.6731862,509.0454346,715.8469238,710.9881287,670.4594116,614.8556213,498.6781464,487.7407379,538.0114441,578.9486084,558.7264099,504.6531372,570.7325439,624.5414734,,,,,,,,,,,,
318_CC_1,0,0,0,0,0,0,0,0,0,236.7926473,337.1814668,339.0499317,341.0320591,343.5511748,343.3380228,337.5679856,338.201859,332.3441864,328.8573534,328.0221909,231.4774018,0,0,0,0,0,0,0,0,0,170,315.6453948,170,201.8378337,0,0,,,,,,,,,,,,
321_CC_1,170.0266965,170.0270492,171.1714382,171.3770921,173.2427,170.0004347,184.0597848,194.6821906,327.5817253,334.9616546,336.8328197,336.4913571,336.2558074,337.8479975,344.5469853,335.7370304,338.5301057,331.4959205,328.5151648,323.8424888,320.2773824,240.27748,0,0,0,0,0,0,0,0,331.5992778,355,307.6810059,355,0,0,,,,,,,,,,,,
322_CT_5,0,0,0,0,0,0,0,0,0,0,0,0,49.78596782,49.98621556,49.60973311,49.22812393,49.64515807,48.5368342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
322_CT_6,0,0,0,0,0,0,0,0,0,0,0,0,49.78596782,49.98621556,49.60973306,49.22812193,49.64515802,48.5368342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
323_CC_1,170.0464691,170.0343496,171.4191695,171.9716811,174.6805075,170.0008983,189.1084486,205.9382777,228.253498,301.5213095,337.4114267,331.0431749,331.5519526,340.8694962,339.4510537,337.6470879,338.5151378,332.6560728,252.2441433,238.6700655,320.0834514,322.145846,262.7737738,205.421584,170,170,170,170,299.3628394,355,355,355,355,355,355,341.7326733,,,,,,,,,,,,
323_CC_2,170.0500775,170.0343811,171.4192199,171.9702706,174.3755786,170.0008976,189.1099808,206.5957986,228.0002625,295.616983,337.4164785,339.7463155,338.7534466,340.8696902,339.3134778,337.6435185,338.5160896,332.6458814,320.8526351,238.7024493,257.8610733,336.9414945,263.4958984,205.4174241,170,170,170,170,355,355,355,355,355,291.7715723,355,0,,,,,,,,,,,,
P_hat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122_WIND_1,523.36,490.13,457.49,433.13,409.17,393.87,378.92,354.81,302.96,222.13,208.05,221.73,245.16,267.51,298.66,340.33,376.41,391.65,390.12,370.59,390.75,404.78,390.1,498.58,485.4,472.29,455.15,439.04,421.21,399.65,364.84,314.1,248.03,180.2,164.48,169.77,191.8,214.29,254.87,285.74,270.2,244.25,224.96,191.89,185.03,190.01,196.88,218.92
303_WIND_1,714.4,739.28,746.67,739.57,714.1,677.62,635.92,578.59,511.48,356.44,313.48,314.57,324.5,334.39,353.96,385.04,403.54,407.42,437.13,474.35,524.53,597.44,670.9,762.68,776.36,788.95,797.99,799.14,785.44,741.52,695.27,660.06,606.76,505.69,514.92,551.01,585.54,605.43,617.58,621.09,593.88,530.57,486.65,502.19,566.19,644.38,692.6,733.49
309_WIND_1,124.63,124.3,121.29,115.98,108.48,99.4,89.23,78.07,67.73,46.88,44.09,45.81,50.79,57.47,63.66,70.84,74.13,73.17,78.91,81.94,92.15,106.07,118.05,129.68,130.11,129.46,128.1,125.53,121.58,115.58,109.07,100.23,89.53,70.89,72.94,78.77,86.8,94.68,100.92,103.24,99.83,89.11,84.55,85.61,97.71,109.32,113.88,123.39
317_WIND_1,688.06,687.76,679.64,659.85,634.85,600.86,550.6,484.45,408.18,274.81,258.94,268.8,300.49,339.44,390.95,426.41,448.37,463.22,477.67,493.54,554.52,620.26,671.89,714.12,714.82,716.88,716.99,704.98,683.8,657.12,630.37,599.34,541.92,455.43,475.54,499.94,526.61,549.41,575.84,582.06,575.61,541.84,507.27,502.03,551.99,589.47,601.07,648.01
Delta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122_WIND_1,0.020529916,145.2941339,120.8033406,83.35932561,40.37199568,0.000182019,52.81177663,44.28045129,28.51480808,24.09755431,19.14416669,21.25203505,14.34458038,16.29138572,15.29064078,15.3889853,11.94548538,13.82262741,25.80448971,35.15995247,39.964634,16.64055461,22.31043953,42.38909514,6.55675354,25.19490723,44.71771851,99.56900696,207.098031,232.5249161,161.7968634,43.79626617,-9.191961975,-28.22853546,-23.04051544,-38.12792633,,,,,,,,,,,,
303_WIND_1,143.9801139,294.0195434,337.110591,379.7178996,445.3905602,433.9290066,292.9244875,210.7418907,137.7051205,82.90646784,29.2681106,25.23901851,24.04403575,38.02375263,76.7619195,214.173139,294.4432045,251.1602829,262.0583693,301.8098896,405.8897442,300.7138839,351.8726902,440.3838408,226.9411117,246.2007873,228.9375681,254.6075455,229.2124152,208.6687054,194.3378556,150.8043228,75.71287666,11.26884216,-76.50251318,-8.321641556,,,,,,,,,,,,
309_WIND_1,0.077008347,30.73956551,39.73493096,33.69797436,23.13408336,0.000555899,20.7098292,15.38363928,8.944168519,11.45980138,13.09384664,12.88734286,11.71157521,7.035926786,7.095904265,10.95170229,6.846147529,11.03747274,21.6451689,28.69325252,29.14153147,9.762281946,18.80381932,19.5798606,0.325385437,2.645894012,9.522855377,20.88151291,41.37245758,39.72278793,18.32892639,-1.848369141,-4.942503662,-14.19010864,-30.57148605,-39.86493347,,,,,,,,,,,,
317_WIND_1,355.1906926,85.01540472,91.01841458,82.12020181,52.86836128,0.000779196,51.87218947,52.17412322,27.99859944,31.64673016,31.50419101,35.39839755,21.16168691,24.53242429,20.63228235,22.42412849,19.83750393,41.10645388,86.1446777,123.6300642,106.2321449,93.76018232,214.2168138,205.0745654,-1.026923828,5.891871338,46.53058838,90.12437866,185.1218536,169.3792621,92.35855591,20.3913916,-16.80640991,-49.22313721,-95.19254395,-124.6014734,,,,,,,,,,,,
wc_r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122_WIND_1,155.9,180.62,204.84,199.41,164.49,118.5,156.08,161.82,115.28,139.04,166.73,201.28,232.6,202.53,154.7,154.56,149.24,110.8,103.19,112.63,150.92,13.31,-0.32,-30.96,53.25,62.26,88.92,91.4,197.7,191.57,140.53,24.03,49.15,125.21,56.95,71.2,83.64,88.86,151.86,172.69,207.27,141.13,139.75,84.11,58.78,-7.38,12.48,31.41
303_WIND_1,36.68,50.88,65.2,85.56,164.44,164.64,194.8,159.27,122.77,164.33,135.07,116.4,107.47,98.37,138.61,205.21,212.61,273.88,324.64,362.33,485.29,354.03,408.31,504.62,170.26,100.76,115.66,118.32,169.51,142.24,86.82,90.69,162.18,102.46,112.44,121.44,95.61,54.6,39.84,94.47,191.16,140.71,241.61,301.65,194.5,228.42,180.81,100.15
309_WIND_1,10.14,7.96,7.04,9.87,13.22,7.46,14.81,13.07,10.62,18.6,13.1,8.2,7.36,8.74,19.21,52.71,33.77,41.41,53.51,57.17,66.18,12.25,5.95,27.22,27.82,17.03,18.93,19.04,24.15,22.06,19.39,19.07,20.98,31.02,26.97,24.8,17.54,7.83,4.7,27.7,23.89,19.67,35.47,36.82,20.52,33.5,12.91,8.2
317_WIND_1,160.38,152.89,155.67,159.44,216.68,152.07,133.11,97.77,69.86,117.65,92.92,90.78,85.47,74.1,112.04,245.3,273.39,264.76,264.93,276.87,230.99,237.72,361.2,309.27,186.35,138.68,196.71,208.57,212.17,163.82,140.52,241.15,202.1,181.19,124.82,118.64,84.74,44.2,46.23,179.44,220.83,132.96,133.95,230.38,277.96,306.02,109.6,51.82
