,2020-07-15 00:00:00,2020-07-15 01:00:00,2020-07-15 02:00:00,2020-07-15 03:00:00,2020-07-15 04:00:00,2020-07-15 05:00:00
202_STEAM_3,0.0,0.0,0.0,0.0,0.0,0.0
202_STEAM_4,0.0,0.0,0.0,0.0,0.0,0.0
207_CT_1,0.0,0.0,0.0,0.0,0.0,0.0
207_CT_2,0.0,0.0,0.0,0.0,0.0,0.0
212_CSP_1,147.7464626937129,140.75758035989676,136.61729936455208,136.15974974628125,137.73357730888182,135.350679651769
213_CC_3,0.0,0.0,0.0,0.0,0.0,0.0
213_CT_1,0.0,0.0,0.0,0.0,0.0,0.0
213_CT_2,0.0,0.0,0.0,0.0,0.0,0.0
213_RTPV_1,0.0,0.0,0.0,0.0,0.0,0.0
215_CT_4,0.0,0.0,0.0,0.0,0.0,0.0
215_CT_5,0.0,0.0,0.0,0.0,0.0,0.0
215_HYDRO_1,50.0,50.0,50.0,50.0,50.0,0.0
215_HYDRO_2,50.0,50.0,50.0,50.0,50.0,50.0
215_HYDRO_3,50.0,50.0,50.0,50.0,50.0,0.0
215_PV_1,0.0,0.0,0.0,0.0,0.0,0.0
216_STEAM_1,142.59590724237967,140.4705664282111,138.94649429572462,138.44821142142595,138.3529038910156,137.89806853378983
218_CC_1,0.0,0.0,0.0,0.0,0.0,0.0
221_CC_1,0.0,0.0,0.0,0.0,0.0,0.0
222_HYDRO_1,50.0,50.0,50.0,50.0,50.0,0.0
222_HYDRO_2,50.0,50.0,50.0,50.0,50.0,50.0
222_HYDRO_3,50.0,50.0,50.0,50.0,50.0,50.0
222_HYDRO_4,50.0,50.0,50.0,50.0,50.0,50.0
222_HYDRO_5,50.0,50.0,50.0,50.0,50.0,50.0
222_HYDRO_6,50.0,50.0,50.0,50.0,50.0,50.0
223_CT_4,0.0,0.0,0.0,0.0,0.0,0.0
223_CT_5,0.0,0.0,0.0,0.0,0.0,0.0
223_CT_6,0.0,0.0,0.0,0.0,0.0,0.0
223_STEAM_1,142.59590724237967,140.4705664282111,138.94649429572462,138.44821142142595,138.3529038910156,137.89806853378983
223_STEAM_2,142.59590724237967,140.47056642821104,138.94649429572462,138.44821142142598,138.35290389101561,137.89806853378985
223_STEAM_3,0.0,0.0,0.0,0.0,0.0,0.0
301_CT_1,0.0,0.0,0.0,0.0,0.0,0.0
301_CT_2,0.0,0.0,0.0,0.0,0.0,0.0
301_CT_3,0.0,0.0,0.0,0.0,0.0,0.0
301_CT_4,0.0,0.0,0.0,0.0,0.0,0.0
302_CT_1,0.0,0.0,0.0,0.0,0.0,0.0
302_CT_2,0.0,0.0,0.0,0.0,0.0,0.0
302_CT_3,0.0,0.0,0.0,0.0,0.0,0.0
302_CT_4,0.0,0.0,0.0,0.0,0.0,0.0
303_WIND_1,714.3993530273438,739.2752075195312,568.5039247769664,591.7001412302184,680.6777762416946,677.61572265625
307_CT_1,0.0,0.0,0.0,0.0,0.0,0.0
307_CT_2,0.0,0.0,0.0,0.0,0.0,0.0
308_RTPV_1,0.0,0.0,0.0,0.0,0.0,0.0
309_WIND_1,124.62793731689453,0.0,0.0,0.0,0.0,0.0
310_PV_1,0.0,0.0,0.0,0.0,0.0,17.3
310_PV_2,0.0,0.0,0.0,0.0,0.0,17.3
312_PV_1,0.0,0.0,0.0,0.0,0.0,17.4
313_CC_1,0.0,0.0,0.0,0.0,0.0,0.0
313_PV_1,0.0,0.0,0.0,0.0,0.0,17.3
313_PV_2,0.0,0.0,0.0,0.0,0.0,17.4
313_RTPV_1,0.0,0.0,0.0,0.0,0.0,0.0
313_RTPV_10,0.0,0.0,0.0,0.0,0.0,0.0
313_RTPV_11,0.0,0.0,0.0,0.0,0.0,0.0
313_RTPV_12,0.0,0.0,0.0,0.0,0.0,0.0
313_RTPV_13,0.0,0.0,0.0,0.0,0.0,0.0
313_RTPV_2,0.0,0.0,0.0,0.0,0.0,0.0
313_RTPV_3,0.0,0.0,0.0,0.0,0.0,0.0
313_RTPV_4,0.0,0.0,0.0,0.0,0.0,0.0
313_RTPV_5,0.0,0.0,0.0,0.0,0.0,0.0
313_RTPV_6,0.0,0.0,0.0,0.0,0.0,0.0
313_RTPV_7,0.0,0.0,0.0,0.0,0.0,0.0
313_RTPV_8,0.0,0.0,0.0,0.0,0.0,0.0
313_RTPV_9,0.0,0.0,0.0,0.0,0.0,0.0
314_PV_1,0.0,0.0,0.0,0.0,0.0,18.2
314_PV_2,0.0,0.0,0.0,0.0,0.0,17.4
314_PV_3,0.0,0.0,0.0,0.0,0.0,18.2
314_PV_4,0.0,0.0,0.0,0.0,0.0,17.4
315_CT_6,0.0,0.0,0.0,0.0,0.0,0.0
315_CT_7,0.0,0.0,0.0,0.0,0.0,0.0
315_CT_8,0.0,0.0,0.0,0.0,0.0,0.0
315_STEAM_1,0.0,0.0,0.0,0.0,0.0,0.0
315_STEAM_2,0.0,0.0,0.0,0.0,0.0,0.0
315_STEAM_3,0.0,0.0,0.0,0.0,0.0,0.0
315_STEAM_4,0.0,0.0,0.0,0.0,0.0,0.0
315_STEAM_5,0.0,0.0,0.0,0.0,0.0,0.0
316_STEAM_1,0.0,0.0,0.0,0.0,0.0,0.0
317_WIND_1,654.9285397155118,578.6456043686612,679.6448974609375,659.8468627929688,634.8544921875,600.8594360351562
318_CC_1,0.0,0.0,0.0,0.0,0.0,0.0
319_PV_1,0.0,0.0,0.0,0.0,0.0,65.0
320_PV_1,0.0,0.0,0.0,0.0,0.0,18.0
320_RTPV_1,0.0,0.0,0.0,0.0,0.0,0.0
320_RTPV_2,0.0,0.0,0.0,0.0,0.0,0.0
320_RTPV_3,0.0,0.0,0.0,0.0,0.0,0.0
320_RTPV_4,0.0,0.0,0.0,0.0,0.0,0.0
320_RTPV_5,0.0,0.0,0.0,0.0,0.0,0.0
320_RTPV_6,0.0,0.0,0.0,0.0,0.0,0.0
321_CC_1,0.0,0.0,0.0,0.0,0.0,0.0
322_CT_5,0.0,0.0,0.0,0.0,0.0,0.0
322_CT_6,0.0,0.0,0.0,0.0,0.0,0.0
322_HYDRO_1,50.0,50.0,50.0,50.0,50.0,50.0
322_HYDRO_2,50.0,50.0,50.0,50.0,50.0,50.0
322_HYDRO_3,50.0,50.0,50.0,50.0,50.0,50.0
322_HYDRO_4,50.0,50.0,50.0,50.0,50.0,50.0
323_CC_1,0.0,0.0,0.0,0.0,0.0,0.0
323_CC_2,0.0,0.0,0.0,0.0,0.0,0.0
324_PV_1,0.0,0.0,0.0,0.0,0.0,17.7
324_PV_2,0.0,0.0,0.0,0.0,0.0,17.1
324_PV_3,0.0,0.0,0.0,0.0,0.0,17.2
